날짜,스트레스,집값
2017-10-26,18.56502,14.1704
2017-10-27,12.28699,12.37668
2017-10-28,10.40358,8.3408
2017-10-29,12.28699,11.39013
2017-10-30,13.90134,13.09417
2017-10-31,14.34977,8.60986
2017-11-01,12.55605,11.03139
2017-11-02,16.59192,12.46636
2017-11-03,13.90134,11.5695
2017-11-04,10.13452,8.60986
2017-11-05,12.55605,8.78923
2017-11-06,15.60538,9.59641
2017-11-07,15.15695,13.72197
2017-11-08,17.13004,10.58295
2017-11-09,14.7982,11.12107
2017-11-10,11.03139,11.12107
2017-11-11,9.77578,9.23766
2017-11-12,13.00448,9.59641
2017-11-13,15.06726,12.46636
2017-11-14,14.1704,12.64573
2017-11-15,13.63228,9.68609
2017-11-16,12.55605,10.67264
2017-11-17,11.74887,9.68609
2017-11-18,8.52017,9.23766
2017-11-19,9.50672,12.01793
2017-11-20,15.60538,11.65919
2017-11-21,13.00448,12.82511
2017-11-22,12.64573,13.00448
2017-11-23,14.70852,10.85201
2017-11-24,12.73542,10.04484
2017-11-25,8.87892,10.58295
2017-11-26,12.10762,11.74887
2017-11-27,13.18385,9.77578
2017-11-28,16.68161,11.12107
2017-11-29,15.24663,7.98206
2017-11-30,13.90134,12.46636
2017-12-01,11.21076,11.5695
2017-12-02,10.13452,9.59641
2017-12-03,12.64573,9.50672
2017-12-04,15.24663,12.82511
2017-12-05,18.29596,10.13452
2017-12-06,13.72197,10.85201
2017-12-07,14.1704,9.68609
2017-12-08,15.426,8.78923
2017-12-09,8.25112,8.60986
2017-12-10,11.03139,8.9686
2017-12-11,14.1704,9.95515
2017-12-12,11.5695,11.74887
2017-12-13,14.52914,11.12107
2017-12-14,13.63228,10.22421
2017-12-15,10.58295,8.9686
2017-12-16,9.59641,8.52017
2017-12-17,12.46636,8.60986
2017-12-18,13.00448,10.3139
2017-12-19,12.1973,8.9686
2017-12-20,13.81165,13.09417
2017-12-21,11.65919,12.1973
2017-12-22,12.64573,9.05829
2017-12-23,10.3139,7.0852
2017-12-24,7.53363,6.81614
2017-12-25,8.87892,9.32735
2017-12-26,10.9417,9.23766
2017-12-27,13.5426,11.83856
2017-12-28,11.5695,9.59641
2017-12-29,9.32735,11.39013
2017-12-30,9.05829,8.3408
2017-12-31,6.90582,6.36771
2018-01-01,6.63677,8.43049
2018-01-02,11.12107,10.76233
2018-01-03,14.08071,10.04484
2018-01-04,14.34977,11.74887
2018-01-05,11.83856,14.7982
2018-01-06,10.58295,14.43946
2018-01-07,9.59641,13.45291
2018-01-08,12.73542,16.41255
2018-01-09,15.87443,17.04035
2018-01-10,14.52914,16.68161
2018-01-11,14.1704,17.04035
2018-01-12,12.37668,17.66816
2018-01-13,9.50672,18.20627
2018-01-14,11.30044,20.89686
2018-01-15,12.82511,23.04932
2018-01-16,17.21973,22.42152
2018-01-17,22.69058,20.17937
2018-01-18,16.41255,18.47533
2018-01-19,15.24663,15.60538
2018-01-20,11.5695,16.23318
2018-01-21,13.00448,15.60538
2018-01-22,19.82062,18.74439
2018-01-23,19.01345,22.86995
2018-01-24,15.51569,20.35874
2018-01-25,15.96412,21.61434
2018-01-26,14.7982,21.07623
2018-01-27,12.1973,15.06726
2018-01-28,10.9417,17.3991
2018-01-29,17.04035,21.97309
2018-01-30,19.82062,20.6278
2018-01-31,18.38565,16.05381
2018-02-01,17.66816,18.20627
2018-02-02,15.60538,17.75784
2018-02-03,11.5695,17.21973
2018-02-04,13.72197,16.23318
2018-02-05,14.1704,20.98654
2018-02-06,15.87443,21.61434
2018-02-07,19.55156,16.86098
2018-02-08,17.3991,18.38565
2018-02-09,15.06726,16.05381
2018-02-10,10.9417,14.43946
2018-02-11,11.5695,14.70852
2018-02-12,15.87443,17.84753
2018-02-13,17.66816,17.66816
2018-02-14,13.45291,13.72197
2018-02-15,10.3139,11.65919
2018-02-16,7.98206,8.78923
2018-02-17,9.05829,11.83856
2018-02-18,12.46636,14.1704
2018-02-19,15.87443,19.46188
2018-02-20,14.70852,15.69506
2018-02-21,13.36322,16.7713
2018-02-22,14.26008,17.21973
2018-02-23,12.91479,18.83408
2018-02-24,10.04484,15.15695
2018-02-25,12.37668,23.8565
2018-02-26,13.5426,18.92376
2018-02-27,16.86098,20.89686
2018-02-28,11.39013,19.91031
2018-03-01,12.28699,17.30941
2018-03-02,15.24663,16.68161
2018-03-03,11.74887,14.1704
2018-03-04,13.5426,15.24663
2018-03-05,13.99103,14.97757
2018-03-06,13.99103,13.09417
2018-03-07,14.7982,12.82511
2018-03-08,14.26008,16.23318
2018-03-09,15.51569,15.60538
2018-03-10,10.67264,17.13004
2018-03-11,12.01793,16.68161
2018-03-12,15.33632,17.3991
2018-03-13,16.05381,21.34529
2018-03-14,16.14349,16.95067
2018-03-15,17.04035,17.75784
2018-03-16,14.26008,16.23318
2018-03-17,12.82511,15.426
2018-03-18,12.55605,16.32286
2018-03-19,13.00448,22.69058
2018-03-20,16.59192,16.86098
2018-03-21,19.28251,19.37219
2018-03-22,16.41255,20.98654
2018-03-23,15.24663,17.3991
2018-03-24,13.45291,16.50224
2018-03-25,12.37668,16.95067
2018-03-26,15.87443,18.6547
2018-03-27,15.426,25.65022
2018-03-28,15.87443,23.31838
2018-03-29,14.34977,28.07174
2018-03-30,13.5426,24.21524
2018-03-31,12.82511,18.47533
2018-04-01,12.64573,15.96412
2018-04-02,15.78475,22.51121
2018-04-03,18.0269,19.73094
2018-04-04,19.19282,20.44843
2018-04-05,15.15695,19.46188
2018-04-06,15.69506,15.60538
2018-04-07,10.9417,15.15695
2018-04-08,14.34977,17.30941
2018-04-09,15.78475,17.13004
2018-04-10,15.87443,20.89686
